Metric,Training,Testing
Accuracy,0.7211339385252429,0.7123745819397993
Precision,0.8593114623780842,0.8571627453710149
Recall,0.7671447873022805,0.7562952954182532
F1_Score,0.810616712453222,0.8035760897937875
CV_Accuracy,0.7214206083771302,0.7214206083771302
CV_Std,0.009321546792743208,0.009321546792743208
